timestamp,left_joint_0,left_joint_1,left_joint_2,left_joint_3,left_joint_4,right_joint_0,right_joint_1,right_joint_2,right_joint_3,right_joint_4
0.000,0.42061683535575867,0.09654255211353302,1.3604625463485718,-0.3371855318546295,0.0,0.2429920732975006,-0.15536198019981384,-1.583743929862976,-0.19219918549060822,0.0
0.100,0.8347648978233337,0.46698546409606934,-0.5904669165611267,0.5025795698165894,0.0,0.5340776443481445,-0.6802622079849243,0.9390961527824402,0.47479742765426636,0.0
0.200,0.32885801792144775,0.3760528266429901,-0.9565545916557312,0.6139532327651978,0.0,0.7214837670326233,-0.2560783326625824,0.4323815107345581,0.739692211151123,0.0
0.300,0.38516363501548767,0.45275744795799255,-1.1129896640777588,0.5036880970001221,0.0,0.7255136370658875,-0.17463690042495728,0.3536521792411804,0.778796374797821,0.0
0.400,0.7419145107269287,0.38362884521484375,-0.6960874199867249,0.6555222868919373,0.0,0.6034373044967651,-0.47403451800346375,0.7158588171005249,0.7773866057395935,0.0
0.500,1.1660442352294922,0.2410147786140442,-0.10286703705787659,0.29140332341194153,0.0,0.9381322264671326,-0.10674405097961426,-0.3343939483165741,0.38919544219970703,0.0
0.600,0.4012061357498169,0.0021332192700356245,0.7962449193000793,-0.06813738495111465,0.0,1.0067408084869385,-0.6559496521949768,0.03066287375986576,0.22833716869354248,0.0
0.700,1.2740206718444824,0.9170176982879639,-0.1992885023355484,0.12277796864509583,0.0,0.9219465851783752,-0.2254692167043686,-0.9824851155281067,0.035869158804416656,0.0
0.800,0.48289430141448975,0.19340085983276367,1.447266697883606,-0.3670405447483063,0.0,1.285525918006897,-0.5305718183517456,-0.739760160446167,0.3504396080970764,0.0
0.900,0.8472909331321716,0.38951951265335083,0.9744071364402771,-0.3093640208244324,0.0,1.1065753698349,-0.3993983566761017,-0.8760915398597717,0.4348412752151489,0.0
1.000,0.797562837600708,0.002594584133476019,1.116963505744934,-0.0004993348265998065,0.0,0.9421651363372803,-0.10916189849376678,-0.8015426397323608,0.38591012358665466,0.0
1.100,0.8995353579521179,0.3699442148208618,0.28503215312957764,0.09838194400072098,0.0,0.9036617875099182,-0.5652448534965515,0.1654549539089203,0.256606787443161,0.0
1.200,0.784506618976593,0.4478206932544708,-0.6828757524490356,0.5795832276344299,0.0,0.6697834730148315,-0.37237247824668884,0.6326733827590942,0.7731561660766602,0.0
1.300,0.8698681592941284,0.1757853627204895,-0.3395260274410248,0.46580740809440613,0.0,0.3772677183151245,-0.5464829206466675,1.0129618644714355,0.5429248809814453,0.0
1.400,0.8130210041999817,0.3505922853946686,-0.5608252286911011,0.5673682689666748,0.0,-0.06285969913005829,-0.736454427242279,1.5171937942504883,0.3321360647678375,0.0
1.500,0.8559853434562683,0.17648041248321533,-0.33935752511024475,0.48568040132522583,0.0,-0.0039971377700567245,-0.46023446321487427,0.43640297651290894,0.16550232470035553,0.0
1.600,0.819607675075531,0.32833531498908997,-0.47181761264801025,0.6760751008987427,0.0,-0.9810869693756104,-0.7484590411186218,0.5068298578262329,0.5177258849143982,0.0
1.700,0.8112605214118958,0.3318415582180023,-0.474342942237854,0.662673830986023,0.0,-1.3961509466171265,-1.2794448137283325,0.6953033804893494,-0.06275182217359543,0.0
1.800,0.7368475198745728,0.40710368752479553,-0.6467183828353882,0.544197142124176,0.0,-1.3819955587387085,-1.3267107009887695,0.4515174627304077,-0.19744475185871124,0.0
1.900,0.7110790610313416,0.3721453845500946,-0.6121748685836792,0.39806950092315674,0.0,-1.4676676988601685,-0.805557370185852,0.5221423506736755,0.6930793523788452,0.0
2.000,0.7625112533569336,0.4102270007133484,-0.6902016997337341,0.625255286693573,0.0,-1.5402830839157104,-0.5997159481048584,0.5661611557006836,1.2936285734176636,0.0
2.100,0.7524171471595764,0.43369802832603455,-0.6881294846534729,0.6240254044532776,0.0,-1.0453877449035645,-0.7260559797286987,0.5128371715545654,0.6105204820632935,0.0
2.200,0.7789962291717529,0.42428067326545715,-0.6887500882148743,0.5907029509544373,0.0,0.04385063424706459,-0.3787420988082886,0.46178850531578064,0.3495469093322754,0.0
2.300,0.7774184346199036,0.41016510128974915,-0.6902753114700317,0.6054450273513794,0.0,-0.007523438893258572,-0.7406745553016663,1.5188332796096802,0.3015748858451843,0.0
2.400,0.8029380440711975,0.27308976650238037,-0.43732354044914246,0.7222588658332825,0.0,0.647742748260498,-0.2421877384185791,0.48941972851753235,0.726659893989563,0.0
2.500,0.4338231086730957,0.579348623752594,-0.919269323348999,0.256205290555954,0.0,0.049349162727594376,-0.6708003878593445,1.5070438385009766,0.40534040331840515,0.0
2.600,0.2944697439670563,0.7898499965667725,-0.8983931541442871,0.013359795324504375,0.0,0.21685512363910675,-0.3110720217227936,0.21802929043769836,0.13414983451366425,0.0
2.700,-0.7427700757980347,0.9739558100700378,-1.0974886417388916,0.4618561565876007,0.0,-0.7410180568695068,-0.6779778003692627,0.2154081016778946,0.8309511542320251,0.0
2.800,-1.1562234163284302,0.5183770656585693,0.3381429612636566,0.053443875163793564,0.0,-0.81251060962677,-1.0940518379211426,-0.24217571318149567,-0.13835257291793823,0.0
2.900,-1.1653088331222534,0.34612157940864563,0.29798176884651184,-0.08137340843677521,0.0,-0.9536850452423096,-1.0799281597137451,0.29958802461624146,0.012707303278148174,0.0
3.000,-0.9347307682037354,0.2698860466480255,0.28612709045410156,-0.1268298327922821,0.0,-0.8743193745613098,-0.8908600211143494,0.43516427278518677,0.25652116537094116,0.0
