timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint
0.000,1.1729857921600342,0.5228246450424194,1.0213507413864136,0.4560348391532898,0.0,0.0,1.1509528160095215,-0.566451370716095,-0.9539310336112976,-0.2520909309387207,0.0,0.0
0.100,1.2349470853805542,0.5719593167304993,0.8811007738113403,0.4756185710430145,0.0,0.0,1.1046515703201294,-0.6233247518539429,-0.9292616844177246,-0.2739746868610382,0.0,0.0
0.200,1.1680868864059448,0.5319356024265289,1.0033495426177979,0.4586923122406006,0.0,0.0,1.0908242464065552,-0.6412542164325714,-0.9222150444984436,-0.2822558581829071,0.0,0.0
0.300,1.1012266874313354,0.4919118881225586,1.1255983114242554,0.44176605343818665,0.0,0.0,1.076996922492981,-0.6591836810112,-0.9151684045791626,-0.290537029504776,0.0,0.0
0.400,1.1034984588623047,0.4946252703666687,1.1131707429885864,0.44666096568107605,0.0,0.0,1.0579804182052612,-0.6800186634063721,-0.9051316380500793,-0.2925666868686676,0.0,0.0
0.500,1.0561007261276245,0.4716242551803589,1.1880470514297485,0.4241003692150116,0.0,0.0,1.0400710105895996,-0.7030486464500427,-0.896297812461853,-0.30229172110557556,0.0,0.0
0.600,1.1487192312876384,0.5465555191040039,0.9894986152648926,0.4236500064531962,0.0,0.0,1.0350704193115234,-0.7081800699234009,-0.8936091661453247,-0.3021186689535777,0.0,0.0
0.700,1.241337736447652,0.6214867830276489,0.7909501791000366,0.4231996436913808,0.0,0.0,1.0300698280334473,-0.713311493396759,-0.8909205198287964,-0.3019456168015798,0.0,0.0
0.800,1.333956241607666,0.696418046951294,0.5924017429351807,0.42274928092956543,0.0,0.0,1.025069236755371,-0.7184429168701172,-0.8882318735122681,-0.3017725646495819,0.0,0.0
0.900,1.240647832552592,0.6196787655353546,0.7885398070017496,0.42288604378700256,0.0,0.0,1.0307447512944539,-0.7139651775360107,-0.8915438850720724,-0.30494088927904767,0.0,0.0
1.000,1.1473394234975178,0.5429394841194153,0.9846778710683186,0.4230228066444397,0.0,0.0,1.0364202658335369,-0.7094874382019043,-0.8948558966318766,-0.30810921390851337,0.0,0.0
1.100,1.0540310144424438,0.46620020270347595,1.1808159351348877,0.42315956950187683,0.0,0.0,1.0420957803726196,-0.7050096988677979,-0.8981679081916809,-0.3112775385379791,0.0,0.0
1.200,1.0964925289154053,0.4815177321434021,1.1112556457519531,0.4397904574871063,0.0,0.0,1.039110779762268,-0.708109974861145,-0.8965803384780884,-0.3112001419067383,0.0,0.0
1.300,1.0588533878326416,0.45518526434898376,1.181918978691101,0.4110426604747772,0.0,0.0,1.0567569732666016,-0.694331705570221,-0.9085537195205688,-0.31360337138175964,0.0,0.0
1.400,1.035013198852539,0.43612009286880493,1.2090212106704712,0.36689433455467224,0.0,0.0,1.0559096336364746,-0.6945591568946838,-0.9062900543212891,-0.32033056020736694,0.0,0.0
1.500,1.0339092016220093,0.4440179169178009,1.2131839990615845,0.3930571377277374,0.0,0.0,1.0646291971206665,-0.6900166273117065,-0.913520097732544,-0.32250508666038513,0.0,0.0
1.600,1.1083640456199646,0.5068200305104256,1.0558588951826096,0.3951118737459183,0.0,0.0,1.0624461472034454,-0.6923542320728302,-0.9123858064413071,-0.32252855598926544,0.0,0.0
