timestamp,left_joint_0,left_joint_1,left_joint_2,left_joint_3,left_joint_4,right_joint_0,right_joint_1,right_joint_2,right_joint_3,right_joint_4
0.000,0.8124596476554871,-0.039466213434934616,0.03344731032848358,0.5349076986312866,0.0,0.28971391916275024,-0.6217122077941895,0.3953360319137573,1.0494333505630493,0.0
0.100,0.8073337191627139,-0.008504324725696021,-0.0015488125029064354,0.5247173791839963,0.0,0.29333292018799556,-0.6232597175098601,0.3985951713153294,1.0424600953147525,0.0
0.200,0.8022077906699407,0.022457563983542574,-0.03654493533429645,0.514527059736706,0.0,0.2969519212132409,-0.6248072272255307,0.40185431071690153,1.0354868400664556,0.0
0.300,0.7970818621771676,0.05341945269278117,-0.07154105816568647,0.5043367402894157,0.0,0.30057092223848614,-0.6263547369412014,0.4051134501184736,1.0285135848181588,0.0
0.400,0.7919559336843944,0.08438134140201976,-0.10653718099707649,0.4941464208421253,0.0,0.30418992326373145,-0.627902246656872,0.4083725895200457,1.021540329569862,0.0
0.500,0.7868300051916213,0.11534323011125835,-0.1415333038284665,0.48395610139483497,0.0,0.30780892428897677,-0.6294497563725426,0.41163172892161776,1.0145670743215651,0.0
0.600,0.7817040766988482,0.14630511882049696,-0.17652942665985652,0.47376578194754465,0.0,0.3114279253142221,-0.6309972660882133,0.4148908683231899,1.0075938190732683,0.0
0.700,0.7765781482060751,0.17726700752973557,-0.21152554949124652,0.46357546250025433,0.0,0.31504692633946735,-0.6325447758038839,0.41815000772476196,1.0006205638249714,0.0
0.800,0.7714522197133019,0.20822889623897414,-0.24652167232263655,0.45338514305296396,0.0,0.31866592736471266,-0.6340922855195545,0.42140914712633404,0.9936473085766747,0.0
0.900,0.7663262912205288,0.23919078494821272,-0.2815177951540266,0.44319482360567364,0.0,0.322284928389958,-0.6356397952352252,0.42466828652790617,0.9866740533283779,0.0
1.000,0.7612003627277556,0.2701526736574513,-0.31651391798541656,0.4330045041583833,0.0,0.3259039294152033,-0.6371873049508958,0.42792742592947824,0.979700798080081,0.0
1.100,0.7560744342349824,0.30111456236669,-0.35151004081680665,0.422814184711093,0.0,0.32952293044044856,-0.6387348146665663,0.4311865653310503,0.9727275428317842,0.0
1.200,0.7509485057422093,0.33207645107592854,-0.3865061636481966,0.4126238652638027,0.0,0.3331419314656939,-0.640282324382237,0.4344457047326224,0.9657542875834874,0.0
1.300,0.7458225772494361,0.36303833978516714,-0.42150228647958665,0.40243354581651236,0.0,0.3367609324909392,-0.6418298340979076,0.4377048441341945,0.9587810323351905,0.0
1.400,0.740696648756663,0.39400022849440575,-0.4564984093109766,0.39224322636922204,0.0,0.3403799335161845,-0.6433773438135783,0.4409639835357666,0.9518077770868937,0.0
1.500,0.7355707202638898,0.42496211720364435,-0.4914945321423667,0.38205290692193167,0.0,0.3439989345414298,-0.6449248535292489,0.4442231229373387,0.9448345218385968,0.0
1.600,0.7304447917711168,0.4559240059128829,-0.5264906549737567,0.37186258747464135,0.0,0.3476179355666751,-0.6464723632449195,0.44748226233891075,0.9378612665903001,0.0
1.700,0.7253188632783436,0.4868858946221215,-0.5614867778051468,0.361672268027351,0.0,0.3512369365919204,-0.6480198729605902,0.4507414017404829,0.9308880113420033,0.0
1.800,0.7201929347855704,0.5178477833313601,-0.5964829006365368,0.3514819485800607,0.0,0.3548559376171657,-0.6495673826762608,0.45400054114205496,0.9239147560937064,0.0
1.900,0.7150670062927973,0.5488096720405987,-0.6314790234679267,0.34129162913277034,0.0,0.358474938642411,-0.6511148923919314,0.45725968054362703,0.9169415008454096,0.0
2.000,0.7099410778000241,0.5797715607498373,-0.6664751462993167,0.33110130968548,0.0,0.3620939396676563,-0.6526624021076021,0.46051881994519916,0.9099682455971128,0.0
2.100,0.704815149307251,0.6107334494590759,-0.7014712691307068,0.3209109902381897,0.0,0.3657129406929016,-0.6542099118232727,0.46377795934677124,0.9029949903488159,0.0
2.200,0.6846966317721775,0.6224826233727592,-0.7177683115005493,0.35597290311540875,0.0,0.37019458413124084,-0.6494950822421482,0.4573579898902348,0.9068103943552289,0.0
2.300,0.6645781142371041,0.6342317972864423,-0.7340653538703918,0.3910348159926278,0.0,0.3746762275695801,-0.6447802526610238,0.4509380204336984,0.910625798361642,0.0
2.400,0.6444595967020307,0.6459809712001255,-0.7503623962402344,0.4260967288698469,0.0,0.3791578710079193,-0.6400654230798993,0.44451805097716196,0.914441202368055,0.0
2.500,0.6243410791669574,0.6577301451138088,-0.7666594386100769,0.46115864174706594,0.0,0.38363951444625854,-0.635350593498775,0.4380980815206255,0.9182566063744682,0.0
2.600,0.6042225616318839,0.669479319027492,-0.7829564809799194,0.49622055462428505,0.0,0.3881211578845978,-0.6306357639176505,0.43167811206408907,0.9220720103808812,0.0
2.700,0.5841040440968105,0.6812284929411752,-0.799253523349762,0.5312824675015041,0.0,0.392602801322937,-0.6259209343365261,0.4252581426075527,0.9258874143872943,0.0
2.800,0.5639855265617371,0.6929776668548584,-0.8155505657196045,0.5663443803787231,0.0,0.39708444476127625,-0.6212061047554016,0.41883817315101624,0.9297028183937073,0.0
2.900,0.5649053591948289,0.6720092600354781,-0.7719924518695245,0.5690540167001578,0.0,0.40004245936870575,-0.6220099421647879,0.41953324469236225,0.9261002127940838,0.0
3.000,0.5658251918279208,0.651040853216098,-0.7284343380194443,0.5717636530215924,0.0,0.40300047397613525,-0.6228137795741742,0.4202283162337083,0.9224976071944604,0.0
