timestamp,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint
0.000,1.4165987968444824,0.8556451201438904,0.6883419752120972,-0.15094207227230072,0.0,0.0,1.030828595161438,-0.28065457940101624,-1.0630519390106201,-0.05053166672587395,0.0,0.0
0.100,1.252680730819702,0.7034365445375442,0.8641830444335937,-0.16662442088127136,0.0,0.0,0.9343599915504456,-0.2472781866788864,-1.0586262464523315,-0.11209503710269927,0.0,0.0
0.200,1.0887626647949218,0.5512279689311981,1.0400241136550903,-0.182306769490242,0.0,0.0,0.8378913879394532,-0.21390179395675657,-1.0542005538940429,-0.1736584074795246,0.0,0.0
0.300,0.9248445987701417,0.39901939332485203,1.2158651828765867,-0.19798911809921266,0.0,0.0,0.7414227843284606,-0.1805254012346268,-1.0497748613357545,-0.23522177785634993,0.0,0.0
0.400,0.7609265327453613,0.24681081771850577,1.3917062520980834,-0.2136714667081833,0.0,0.0,0.6449541807174682,-0.14714900851249693,-1.0453491687774659,-0.29678514823317526,0.0,0.0
0.500,0.597008466720581,0.09460224211215973,1.56754732131958,-0.22935381531715393,0.0,0.0,0.5484855771064758,-0.11377261579036713,-1.0409234762191772,-0.3583485186100006,0.0,0.0
0.600,0.6168937153286405,0.08771201512879795,1.5154834191004436,-0.21239536586734983,0.0,0.0,0.5920290615823534,-0.20998815695444742,-0.8495202528105842,-0.2885056601630317,0.0,0.0
0.700,0.6367789639366997,0.08082178814543618,1.463419516881307,-0.19543691641754574,0.0,0.0,0.6355725460582309,-0.3062036981185277,-0.6581170294019911,-0.21866280171606275,0.0,0.0
0.800,0.6566642125447592,0.07393156116207442,1.4113556146621704,-0.17847846696774167,0.0,0.0,0.6791160305341084,-0.40241923928260803,-0.46671380599339807,-0.14881994326909384,0.0,0.0
0.900,0.6765494611528184,0.06704133417871264,1.359291712443034,-0.16152001751793754,0.0,0.0,0.722659515009986,-0.4986347804466883,-0.275310582584805,-0.0789770848221249,0.0,0.0
1.000,0.6964347097608778,0.060151107195350856,1.3072278102238972,-0.14456156806813347,0.0,0.0,0.7662029994858636,-0.5948503216107687,-0.08390735917621184,-0.009134226375155985,0.0,0.0
1.100,0.7163199583689371,0.05326088021198909,1.2551639080047607,-0.12760311861832938,0.0,0.0,0.8097464839617411,-0.6910658627748489,0.10749586423238111,0.06070863207181293,0.0,0.0
1.200,0.7362052069769965,0.04637065322862731,1.2031000057856243,-0.11064466916852526,0.0,0.0,0.8532899684376187,-0.7872814039389292,0.2988990876409743,0.1305514905187819,0.0,0.0
1.300,0.7560904555850558,0.03948042624526554,1.1510361035664878,-0.09368621971872118,0.0,0.0,0.8968334529134963,-0.8834969451030095,0.49030231104956723,0.2003943489657508,0.0,0.0
1.400,0.7759757041931152,0.03259019926190376,1.098972201347351,-0.07672777026891708,0.0,0.0,0.9403769373893738,-0.9797124862670898,0.6817055344581604,0.2702372074127197,0.0,0.0
1.500,0.781999409198761,0.11425946652889252,0.9225297510623932,-0.06104200563859194,0.0,0.0,0.9405579566955566,-0.8769492745399475,0.5717767626047134,0.21753924805670977,0.0,0.0
1.600,0.7880231142044067,0.19592873379588127,0.7460873007774353,-0.0453562410082668,0.0,0.0,0.9407389760017395,-0.7741860628128052,0.4618479907512665,0.1648412887006998,0.0,0.0
1.700,0.7940468192100525,0.27759800106287,0.5696448504924775,-0.029670476377941672,0.0,0.0,0.9409199953079224,-0.6714228510856628,0.3519192188978195,0.11214332934468985,0.0,0.0
1.800,0.8000705242156982,0.3592672683298588,0.3932024002075195,-0.013984711747616521,0.0,0.0,0.9411010146141052,-0.5686596393585205,0.24199044704437256,0.059445369988679886,0.0,0.0
1.900,0.806094229221344,0.44093653559684753,0.21675994992256165,0.001701052882708609,0.0,0.0,0.9412820339202881,-0.4658964276313782,0.1320616751909256,0.006747410632669926,0.0,0.0
2.000,0.8855498234430949,0.3949129680792491,0.07512796918551129,0.1624762190040201,0.0,0.0,0.9002021749814352,-0.4141169985135396,0.14289367695649466,0.08149860861400762,0.0,0.0
2.100,0.9650054176648457,0.34888940056165063,-0.06650401155153907,0.3232513851253316,0.0,0.0,0.8591223160425822,-0.3623375693957011,0.1537256787220637,0.15624980659534532,0.0,0.0
2.200,1.0444610118865967,0.3028658330440521,-0.20813599228858948,0.48402655124664307,0.0,0.0,0.8180424571037292,-0.31055814027786255,0.16455768048763275,0.23100100457668304,0.0,0.0
2.300,0.9178700099388759,0.3990932653347651,-0.3994143853584925,0.44991861283779144,0.0,0.0,0.822874516248703,-0.28840674708286923,0.16514349480470022,0.2437584176659584,0.0,0.0
2.400,0.791279007991155,0.4953206976254781,-0.5906927784283955,0.4158106744289398,0.0,0.0,0.8277065753936768,-0.26625535388787586,0.16572930912176767,0.25651583075523376,0.0,0.0
2.500,0.6646880060434341,0.5915481299161911,-0.7819711714982986,0.3817027360200882,0.0,0.0,0.8325386345386505,-0.24410396069288254,0.16631512343883514,0.2692732438445091,0.0,0.0
2.600,0.5380970040957134,0.6877755622069041,-0.9732495645682017,0.3475947976112366,0.0,0.0,0.8373706936836243,-0.22195256749788922,0.16690093775590262,0.2820306569337845,0.0,0.0
2.700,0.4115060021479924,0.7840029944976171,-1.164527957638105,0.31348685920238495,0.0,0.0,0.842202752828598,-0.19980117430289585,0.16748675207297006,0.29478807002305984,0.0,0.0
2.800,0.2849150002002716,0.8802304267883301,-1.3558063507080078,0.2793789207935333,0.0,0.0,0.8470348119735718,-0.17764978110790253,0.16807256639003754,0.3075454831123352,0.0,0.0
2.900,0.35307767391204836,0.7914377868175506,-1.2143444299697876,0.29247501492500305,0.0,0.0,0.764302933216095,-0.2681924939155579,0.33385629653930665,0.3112050235271454,0.0,0.0
3.000,0.4212403476238251,0.7026451468467713,-1.0728825092315675,0.3055711090564728,0.0,0.0,0.6815710544586182,-0.35873520672321324,0.49964002668857577,0.31486456394195556,0.0,0.0
3.100,0.48940302133560176,0.6138525068759919,-0.9314205884933472,0.3186672031879425,0.0,0.0,0.5988391757011413,-0.44927791953086854,0.6654237568378448,0.31852410435676576,0.0,0.0
3.200,0.5575656950473786,0.5250598669052124,-0.7899586677551269,0.33176329731941223,0.0,0.0,0.5161072969436645,-0.539820632338524,0.831207486987114,0.3221836447715759,0.0,0.0
3.300,0.6257283687591553,0.436267226934433,-0.6484967470169067,0.34485939145088196,0.0,0.0,0.43337541818618774,-0.6303633451461792,0.9969912171363831,0.3258431851863861,0.0,0.0
3.400,0.7077615261077881,0.3302600085735321,-0.608880341053009,0.4081304669380188,0.0,0.0,0.5808267593383789,-0.4691822826862335,0.8910483121871948,0.46512848138809204,0.0,0.0
3.500,0.6397766868273417,0.4122746388117472,-0.7673450708389282,0.3920497198899587,0.0,0.0,0.5670259197552999,-0.4605463147163391,0.8955657879511515,0.46755032738049823,0.0,0.0
3.600,0.5717918475468954,0.49428926904996234,-0.9258098006248474,0.3759689728418986,0.0,0.0,0.5532250801722208,-0.4519103467464447,0.9000832637151083,0.4699721733729045,0.0,0.0
3.700,0.503807008266449,0.5763038992881775,-1.0842745304107666,0.3598882257938385,0.0,0.0,0.5394242405891418,-0.4432743787765503,0.9046007394790649,0.47239401936531067,0.0,0.0
3.800,0.5684488614400228,0.5072823166847229,-0.9284799893697103,0.37156854073206586,0.0,0.0,0.5407294631004333,-0.45135865608851117,0.9048643310864767,0.4583605130513509,0.0,0.0
3.900,0.6330907146135966,0.4382607340812683,-0.772685448328654,0.38324885567029315,0.0,0.0,0.5420346856117249,-0.459442933400472,0.9051279226938883,0.4443270067373912,0.0,0.0
4.000,0.6977325677871704,0.3692391514778137,-0.6168909072875977,0.3949291706085205,0.0,0.0,0.5433399081230164,-0.46752721071243286,0.9053915143013,0.4302935004234314,0.0,0.0
4.100,0.7844310998916626,0.3132273256778717,-0.4234924614429474,0.46983832120895386,0.0,0.0,0.5824174880981445,-0.5303581357002258,0.9017283916473389,0.49240168929100037,0.0,0.0
4.200,0.8282209932804108,0.2180861011147499,-0.2516556903719902,0.41881920397281647,0.0,0.0,0.5441998541355133,-0.612980306148529,0.9356347620487213,0.4139288514852524,0.0,0.0
4.300,0.8720108866691589,0.12294487655162811,-0.07981891930103302,0.3678000867366791,0.0,0.0,0.5059822201728821,-0.6956024765968323,0.9695411324501038,0.3354560136795044,0.0,0.0
4.400,0.8983725547790528,0.14650276005268098,-0.08690427243709564,0.3761238157749176,0.0,0.0,0.5549997925758362,-0.6202596724033356,0.8041987359523773,0.2886882916092873,0.0,0.0
4.500,0.9247342228889466,0.17006064355373382,-0.09398962557315826,0.38444754481315613,0.0,0.0,0.6040173649787903,-0.5449168682098389,0.6388563394546509,0.24192056953907012,0.0,0.0
4.600,0.9510958909988403,0.19361852705478666,-0.10107497870922089,0.39277127385139465,0.0,0.0,0.6530349373817443,-0.46957406401634216,0.47351394295692445,0.195152847468853,0.0,0.0
4.700,0.9774575591087341,0.21717641055583953,-0.10816033184528351,0.4010950028896332,0.0,0.0,0.7020525097846985,-0.39423125982284546,0.308171546459198,0.14838512539863585,0.0,0.0
4.800,1.003819227218628,0.2407342940568924,-0.11524568498134613,0.4094187319278717,0.0,0.0,0.7510700821876526,-0.31888845562934875,0.14282914996147156,0.10161740332841873,0.0,0.0
4.900,0.9981764554977417,0.33718596895535785,-0.11478212475776672,0.374004602432251,0.0,0.0,0.7822877168655396,-0.2282695422569911,-0.026317209005355835,0.020706196626027434,0.0,0.0
5.000,0.9925336837768555,0.4336376438538233,-0.11431856453418732,0.33859047293663025,0.0,0.0,0.8135053515434265,-0.1376506288846334,-0.19546356797218323,-0.06020501007636386,0.0,0.0
5.100,0.9868909120559692,0.5300893187522888,-0.11385500431060791,0.3031763434410095,0.0,0.0,0.8447229862213135,-0.047031715512275696,-0.3646099269390106,-0.1411162167787552,0.0,0.0
5.200,0.951659195125103,0.46475501626264304,0.0353412926197052,0.27115541137754917,0.0,0.0,0.7965451367199421,-0.2035250272601843,-0.17568253353238106,-0.09291324578225613,0.0,0.0
5.300,0.9164274781942368,0.39942071377299726,0.1845375895500183,0.23913447931408882,0.0,0.0,0.7483672872185707,-0.3600183390080929,0.013244859874248505,-0.044710274785757065,0.0,0.0
5.400,0.8811957612633705,0.3340864112833515,0.3337338864803314,0.20711354725062847,0.0,0.0,0.7001894377171993,-0.5165116507560015,0.20217225328087807,0.0034926962107419968,0.0,0.0
5.500,0.8459640443325043,0.2687521087937057,0.48293018341064453,0.17509261518716812,0.0,0.0,0.6520115882158279,-0.6730049625039101,0.39109964668750763,0.05169566720724106,0.0,0.0
5.600,0.810732327401638,0.20341780630405992,0.6321264803409576,0.14307168312370777,0.0,0.0,0.6038337387144566,-0.8294982742518187,0.5800270400941372,0.09989863820374012,0.0,0.0
5.700,0.7755006104707718,0.13808350381441414,0.7813227772712708,0.11105075106024742,0.0,0.0,0.5556558892130852,-0.9859915859997272,0.7689544335007668,0.14810160920023918,0.0,0.0
5.800,0.7402688935399055,0.07274920132476836,0.9305190742015839,0.07902981899678707,0.0,0.0,0.5074780397117138,-1.1424848977476358,0.9578818269073963,0.19630458019673824,0.0,0.0
5.900,0.7050371766090393,0.007414898835122585,1.079715371131897,0.04700888693332672,0.0,0.0,0.4593001902103424,-1.2989782094955444,1.1468092203140259,0.2445075511932373,0.0,0.0
6.000,0.6727806457451412,0.009221667423844337,1.1275545869554793,0.017052316239901954,0.0,0.0,0.5703536697796413,-1.2048078690256392,0.9533807997192656,0.2183394958930356,0.0,0.0
6.100,0.6405241148812431,0.01102843601256609,1.1753938027790614,-0.012904254453522813,0.0,0.0,0.6814071493489402,-1.110637528555734,0.7599523791245052,0.19217144059283392,0.0,0.0
6.200,0.6082675840173449,0.012835204601287842,1.2232330186026437,-0.042860825146947584,0.0,0.0,0.792460628918239,-1.0164671880858285,0.5665239585297449,0.16600338529263226,0.0,0.0
6.300,0.5760110531534468,0.014641973190009594,1.271072234426226,-0.07281739584037235,0.0,0.0,0.9035141084875379,-0.9222968476159232,0.3730955379349845,0.13983532999243056,0.0,0.0
6.400,0.5437545222895486,0.016448741778731346,1.3189114502498083,-0.10277396653379714,0.0,0.0,1.0145675880568368,-0.8281265071460179,0.17966711734022411,0.11366727469222887,0.0,0.0
6.500,0.5114979914256504,0.0182555103674531,1.3667506660733904,-0.1327305372272219,0.0,0.0,1.1256210676261356,-0.7339561666761126,-0.013761303254536061,0.08749921939202718,0.0,0.0
6.600,0.4792414605617523,0.02006227895617485,1.4145898818969727,-0.16268710792064667,0.0,0.0,1.2366745471954346,-0.6397858262062073,-0.20718972384929657,0.061331164091825485,0.0,0.0
6.700,0.5962058067321777,0.06984241902828217,1.3664047718048096,-0.09595425128936767,0.0,0.0,1.2030068635940552,-0.5534649282693863,-0.3828971743583679,0.05619361251592636,0.0,0.0
6.800,0.7131701529026031,0.11962255910038949,1.3182196617126465,-0.02922139465808868,0.0,0.0,1.1693391799926758,-0.4671440303325653,-0.5586046248674392,0.05105606094002724,0.0,0.0
6.900,0.8301344990730286,0.16940269917249678,1.2700345516204834,0.0375114619731903,0.0,0.0,1.1356714963912964,-0.38082313239574433,-0.7343120753765106,0.04591850936412811,0.0,0.0
7.000,0.947098845243454,0.21918283924460413,1.2218494415283203,0.10424431860446931,0.0,0.0,1.102003812789917,-0.2945022344589233,-0.910019525885582,0.04078095778822899,0.0,0.0
7.100,1.0640631914138794,0.2689629793167114,1.1736643314361572,0.1709771752357483,0.0,0.0,1.0683361291885376,-0.20818133652210236,-1.0857269763946533,0.035643406212329865,0.0,0.0
7.200,1.1507821679115295,0.3807038366794586,1.0211024433374405,0.16211186721920967,0.0,0.0,1.1590451896190643,-0.3289068304002285,-0.9202581271529198,0.01009921170771122,0.0,0.0
